a	b
0	0.244140625
0	0.122070313
0	0.305175781
0	0.183105469
0	-0.061035156
0	0
0	-0.061035156
0	-0.244140625
0	-0.183105469
0	-0.366210938
0	-0.305175781
9.523809524	1.281738281
7.326007326	1.098632813
8.791208791	1.281738281
9.523809524	1.159667969
25.64102564	1.281738281
27.83882784	1.159667969
23.44322344	1.220703125
26.37362637	1.953125
25.64102564	1.708984375
30.03663004	1.708984375
28.57142857	2.44140625
43.95604396	2.563476563
38.0952381	2.380371094
37.36263736	2.563476563
41.02564103	2.502441406
63.003663	3.112792969
60.07326007	3.173828125
59.34065934	3.173828125
57.14285714	3.173828125
60.80586081	3.051757813
75.45787546	3.723144531
75.45787546	3.662109375
80.58608059	3.784179688
76.19047619	3.41796875
75.45787546	3.540039063
73.26007326	3.601074219
71.06227106	3.540039063
76.92307692	3.540039063
77.65567766	3.540039063
71.79487179	3.41796875
92.30769231	4.333496094
89.37728938	4.272460938
102.5641026	4.211425781
93.04029304	4.150390625
95.97069597	4.089355469
106.959707	4.8828125
106.959707	4.821777344
112.0879121	4.821777344
107.6923077	4.8828125
107.6923077	4.8828125
125.2747253	5.554199219
123.0769231	5.554199219
123.8095238	5.432128906
124.5421245	5.493164063
126.7399267	5.432128906
141.3919414	6.34765625
141.3919414	6.225585938
140.6593407	6.164550781
143.5897436	6.103515625
140.6593407	6.103515625
158.974359	6.958007813
158.2417582	6.8359375
158.2417582	7.019042969
161.9047619	6.896972656
158.974359	7.141113281
171.4285714	7.690429688
174.3589744	7.751464844
175.8241758	7.629394531
172.1611722	7.751464844
180.2197802	7.873535156
175.8241758	7.8125
173.6263736	7.690429688
171.4285714	7.8125
175.8241758	7.8125
179.4871795	7.751464844
189.7435897	8.666992188
191.9413919	8.483886719
191.2087912	8.666992188
190.4761905	8.666992188
188.2783883	8.7890625
207.3260073	9.338378906
204.3956044	9.338378906
210.2564103	9.460449219
208.0586081	9.399414063
209.5238095	9.521484375
226.3736264	10.43701172
224.9084249	10.25390625
219.047619	10.19287109
221.978022	10.43701172
224.9084249	10.43701172
241.025641	11.16943359
